title,url,event_id,description
PE 164 1 3239,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917638,1222917638,"Thursday, April 10, 2025, 10 - 11:15am Woodruff PE Center Aerobics Room"
Women's Tennis vs Babson,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1216978047,1216978047,"Friday, April 11, 2025, 2 - 6pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Spin (Cecilia),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1229841658,1229841658,"Saturday, April 12, 2025, 10:30 - 11:30am Woodruff PE Center Cycling Studio"
Cycle & Tri Practice (IMSC),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235050920,1235050920,"Sunday, April 6, 2025, 12 - 1pm Woodruff PE Center Pool lap lane"
Men's Tennis individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236518491,1236518491,"Monday, April 7, 2025, 12:45 - 2:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
PE 164 1 3239,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917629,1222917629,"Tuesday, April 8, 2025, 10 - 11:15am Woodruff PE Center Aerobics Room"
DANC 323R 1 2834,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676395,1208676395,"Wednesday, April 9, 2025, 11:30am - 12:45pm Woodruff PE Center - Dance Studio"
FitWell Team Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1233182558,1233182558,"Thursday, April 10, 2025, 11am - 12pm Woodruff PE Center 2nd conference room"
Women's Tennis vs Babson,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1216978065,1216978065,"Friday, April 11, 2025, 2 - 6pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Emory Dance Company Course,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235867443,1235867443,"Saturday, April 12, 2025, 11am - 4pm Woodruff PE Center - Dance Studio"
Emory Dance Company Course,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235867438,1235867438,"Sunday, April 6, 2025, 12:30 - 4pm Woodruff PE Center - Dance Studio"
PE 191 1 3271,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893549,1222893549,"Monday, April 7, 2025, 1 - 2:15pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
RecWell Team Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1234187365,1234187365,"Tuesday, April 8, 2025, 11am - 12pm Woodruff PE Center 2nd conference room"
Men's Tennis individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236519215,1236519215,"Wednesday, April 9, 2025, 12:45 - 1pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
PE 167 3 3248,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893559,1222893559,"Thursday, April 10, 2025, 11:30am - 12:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Stretch (Maki),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1229818132,1229818132,"Friday, April 11, 2025, 2 - 3pm Woodruff PE Center Aerobics Room"
Women's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1228403249,1228403249,"Saturday, April 12, 2025, 11am - 1pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
TNT Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241397140,1241397140,"Sunday, April 6, 2025, 1 - 3pm Woodruff PE Center Aerobics Room"
Track and Field Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1226151334,1226151334,"Monday, April 7, 2025, 1 - 3pm Woodruff PE Center Mcdonough Field"
PE 167 3 3248,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893553,1222893553,"Tuesday, April 8, 2025, 11:30am - 12:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Men's Tennis individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236518493,1236518493,"Wednesday, April 9, 2025, 12:45 - 1pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
Sports Medicine - Dunham,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1212321744,1212321744,"Thursday, April 10, 2025, 11:30am - 12:30pm Woodruff PE Center small class room"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221902271,1221902271,"Friday, April 11, 2025, 2:15 - 4:15pm "
Women's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1228181272,1228181272,"Saturday, April 12, 2025, 11am - 1pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222279437,1222279437,"Sunday, April 6, 2025, 1 - 4pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
DANC 423R 1 2838,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676386,1208676386,"Monday, April 7, 2025, 1 - 2:15pm Woodruff PE Center - Dance Studio"
PE 116 1 3221,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222895410,1222895410,"Tuesday, April 8, 2025, 11:30am - 12:20pm Woodruff PE Center Cycling Studio"
PE 191 1 3271,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893556,1222893556,"Wednesday, April 9, 2025, 1 - 2:15pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
PE 116 1 3221,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222895411,1222895411,"Thursday, April 10, 2025, 11:30am - 12:20pm Woodruff PE Center Cycling Studio"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221900784,1221900784,"Friday, April 11, 2025, 2:15 - 4:15pm "
ASA Model Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1242053145,1242053145,"Saturday, April 12, 2025, 12:30 - 4pm Woodruff PE Center Aerobics Room"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221900771,1221900771,"Sunday, April 6, 2025, 1 - 4pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
PE 167 4 3251,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917625,1222917625,"Monday, April 7, 2025, 1 - 2:15pm Woodruff PE Center Aerobics Room"
DANC 121R 2 2739,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676390,1208676390,"Tuesday, April 8, 2025, 11:30am - 12:45pm Woodruff PE Center - Dance Studio"
Track and Field Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1226151338,1226151338,"Wednesday, April 9, 2025, 1 - 3pm Woodruff PE Center Mcdonough Field"
DANC 121R 2 2739,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676400,1208676400,"Thursday, April 10, 2025, 11:30am - 12:45pm Woodruff PE Center - Dance Studio"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221900781,1221900781,"Friday, April 11, 2025, 2:15pm "
CS Swimathon,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1255398844,1255398844,"Saturday, April 12, 2025, 1 - 7pm Woodruff PE Center Pool lap lane"
Water Polo Practice (IMSC),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235050921,1235050921,"Sunday, April 6, 2025, 1 - 3pm Woodruff PE Center Pool diving well / deep end"
PE 189 1 3267,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893550,1222893550,"Monday, April 7, 2025, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Men's Tennis Individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236519214,1236519214,"Tuesday, April 8, 2025, 11:30am - 2:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
DANC 423R 1 2838,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676396,1208676396,"Wednesday, April 9, 2025, 1 - 2:15pm Woodruff PE Center - Dance Studio"
Sports Medicine - Dunham,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1181321927,1181321927,"Thursday, April 10, 2025, 11:30am - 12:30pm Woodruff PE Center small class room"
Hatha Yoga (Jia),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1229821885,1229821885,"Friday, April 11, 2025, 2:30 - 3:30pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
CS BJJ,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1230913093,1230913093,"Saturday, April 12, 2025, 2 - 4pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
TNT Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241399736,1241399736,"Sunday, April 6, 2025, 1 - 3pm Woodruff PE Center Aerobics Room"
Track Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1224316089,1224316089,"Monday, April 7, 2025, 2:30 - 5:30pm Woodruff PE Center Outdoor track"
Men's Tennis Individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236518492,1236518492,"Tuesday, April 8, 2025, 11:30am - 2:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
Women's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235334744,1235334744,"Wednesday, April 9, 2025, 1 - 2:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Preview Day Set Up,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1247057883,1247057883,"Thursday, April 10, 2025, 12 - 11:30pm Woodruff PE Center Court #2, Woodruff PE Center Court #1, Woodruff PE Center Court #3, Woodruff PE Center Court #4"
Track Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1224316093,1224316093,"Friday, April 11, 2025, 2:30 - 5:30pm Woodruff PE Center Outdoor track"
Optimizers Soccer Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1259778487,1259778487,"Saturday, April 12, 2025, 3 - 5pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
Savera Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241501836,1241501836,"Sunday, April 6, 2025, 3 - 4pm Woodruff PE Center Aerobics Room"
DANC 322R 1 2833,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676387,1208676387,"Monday, April 7, 2025, 2:30 - 3:45pm Woodruff PE Center - Dance Studio"
PE 167 1 3242,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893554,1222893554,"Tuesday, April 8, 2025, 1 - 2:15pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Women's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235334710,1235334710,"Wednesday, April 9, 2025, 1 - 2:30pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 167 1 3242,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893560,1222893560,"Thursday, April 10, 2025, 1 - 2:15pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Emory Dance Company Course,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235867442,1235867442,"Friday, April 11, 2025, 2:30 - 6pm Woodruff PE Center - Dance Studio"
TNT Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241397143,1241397143,"Saturday, April 12, 2025, 4 - 6pm Woodruff PE Center Aerobics Room"
Savera Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241502975,1241502975,"Sunday, April 6, 2025, 3 - 4pm Woodruff PE Center Aerobics Room"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221902258,1221902258,"Monday, April 7, 2025, 2:30 - 4:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Track and Field Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1226151336,1226151336,"Tuesday, April 8, 2025, 1 - 3pm Woodruff PE Center Mcdonough Field"
Athletic & Recreation Leadership Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1175327290,1175327290,"Wednesday, April 9, 2025, 1 - 3pm Woodruff PE Center small class room"
DANC 123R 1 2731,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676401,1208676401,"Thursday, April 10, 2025, 1 - 2:15pm Woodruff PE Center - Dance Studio"
Mat Pilates (Savvy),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1233610391,1233610391,"Friday, April 11, 2025, 3:45 - 4:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
TNT Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241399738,1241399738,"Saturday, April 12, 2025, 4 - 6pm Woodruff PE Center Aerobics Room"
Emory SaRaas,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241310315,1241310315,"Sunday, April 6, 2025, 4 - 6pm Woodruff PE Center Aerobics Room"
Men's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1221900773,1221900773,"Monday, April 7, 2025, 2:30 - 4:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
DANC 123R 1 2731,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676391,1208676391,"Tuesday, April 8, 2025, 1 - 2:15pm Woodruff PE Center - Dance Studio"
PE 167 4 3251,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917634,1222917634,"Wednesday, April 9, 2025, 1 - 2:15pm Woodruff PE Center Aerobics Room"
PE 112 1 3194,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894424,1222894424,"Thursday, April 10, 2025, 1 - 2:15pm Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
